comment_id,user_name,text_raw,source,like_counts,created_at
1,夏飘儿ceci,一直不明白一个书香门第的大家闺秀，怎么会找一个那么油腻的商人，那么多年的婚姻他一直在把你当成摇钱树！你上了这个节目说明你早就已经认清这个人什么样了，离婚，做自己！,江苏,6112,24-10-17 15:05
2,想想还叫林小夕,跑过来劝离的，他利用你，但不认可你，他把自己描述成遮风挡雨的大树，把你说成攀附的无知藤蔓，他只是把你当做炫耀的资本，挣钱的工具，教子的保姆，他不爱你，也不认可你，更不尊重你。离开，做清醒大女主,北京,4707,24-10-17 18:10
3,展翅蓝飞,姐姐，你那么优秀怎么会感觉没有力量呀。我觉得你脾气真的好好呀，他好像一点都不心疼你，要参加浪姐的公演那么高强度的排练，还要给你接你不知道的工作内容。你们既是工作伙伴，也是夫妻。你完全可以提出自己的想法，想要接什么样的工作内容。,四川,2753,24-10-17 17:22
4,米莱小姐Milai,心疼一下圣依…修养太好脾气太好…这么过日子也是心累很久了,上海,1932,24-10-17 15:44
5,卞有钱ing,一直以为黄圣依是那种很聪明有心机的女生，看了再见爱人，才发现完全误会你了，只是长得很精明的样子，其实真的很温顺很有修养，不过杨子真的太表演型人格了！,陕西,1769,24-10-17 21:18
6,冰啤酒与猫,一个凌晨三点能去不顾及你的休息，去吵醒你的人，他一定不爱你。他不仅不爱你，还否定你，不在乎你。孩子也不会幸福的，一直好奇优越的家庭里的安迪为什么会有种自卑的性格，这种打压的父亲，孩子能自信才怪！,上海,1537,24-10-18 00:29
7,嘻xxx,姐啊，先甭一个不一个🇨🇳了，咱就是说，那么个大撒批…给你座金山你也得跑啊。。。太特么奇葩了真的卧槽 看得我要发疯。你太稳定了卧槽,北京,1009,24-10-18 17:26
8,sandi_无用心,以前错怪你了，你真的很好，快离开爹味很重的懂王，开始自己的生活事业吧,甘肃,808,24-10-17 18:46
9,一只奋斗小青年L,老天爷啊 姐姐不离婚等啥呢？ 醒醒啊,澳大利亚,713,24-10-17 19:25
10,夏飘儿ceci,真的，离婚吧，别跟这种男人过了！活出你自己！,江苏,656,24-10-17 15:04
11,国王大椰子,姐 求你赶紧离了吧 你的好日子才刚开始啊,新加坡,374,24-10-17 21:40
12,瓶子楠_,姐姐，你很棒啊！有能力有工作有孩子有美貌，你怕他干啥！离开他你也一样可以绽放！所有捆绑都是来源于你的内心！离开他你一定会更好的！去感受真正的爱情！,山东,333,24-10-17 20:29
13,来电面具,黄圣依，离吧，太憋屈了，对自己好点！,江苏,303,24-10-17 22:43
14,我今年身高168,你的边界感被入侵的很严重,澳大利亚,277,24-10-18 00:15
15,一把_牙刷,赶快跑 赶快离 需要帮你报警吗,云南,256,24-10-17 23:36
17,我是马女亭,姐姐我关注你就想说一句话：为自己活，这个婚姻太窒息。,陕西,215,24-10-17 23:07
20,太阳出山66552,他利用了你，还不感激你！还认为这是你应该做的！,陕西,167,24-10-18 00:33
22,什么时候可以不头疼,姐姐，求你离婚吧,河南,174,24-10-17 20:59
24,居然不知_,黄圣依，你不是小鸟，你本是展翅高飞的美丽的鹰！你是我的女神啊，看透他，就离开他吧。你的世界应该更辽阔，更精彩！他不是你停靠的树，是紧紧缠绕你翅膀的藤蔓！,河南,132,24-10-18 13:13
25,想上班摸鱼还有钱,姐，离婚，不要管什么捆绑利益这些，人生短短才多少年，但你的人生已经过去了一大半都是你不快乐的日子，剩下的时间就让自己怎么开心怎么来，你只有在未来的日子里没有这个男人的存在才能让你找到点快乐了。,内蒙古,117,24-10-18 08:06
27,唯_心7099,姐姐，离吧！出苦海，做自己,河北,101,24-10-17 22:52
28,鱼記V,上海女人都是家里主心骨，是一家之主…你能支棱起来伐？你看看其他上海籍女演员，哪个人像你这样卑微…就因为他有钞票？有D骨气，离开个只戇男宁！,上海,128,24-10-18 07:55
29,若如初见_初心,浪姐上一定也交了一些圈内朋友，多参加综艺展示自己的性格（转变大众印象），多交朋友互换影视资源。演员立身之本永远是作品，是出彩的角色！好作品的累积，提升路人缘，尝试改变自己的性格和气场，到时候离不离都有了自己的“底气”，二选一，要么他改变相处方式或者你直接换人！,黑龙江,92,24-10-18 11:55
30,AAA贝斯批发凉老师,扬子比你自卑，所以他是故意让你丢掉了你身上真正厉害的地方，那是你自信的来源，等于折断了你生存飞翔的翅膀。。。。赶紧清醒点，人的一生应该为了自己开心的事情而活，活的那么表面风光有p用,福建,121,24-10-18 09:13
31,水冰月69174,杨子离不开黄圣依这个摇钱树，现在出去谈生意还能说我是黄圣依老公，如果离婚了，就只剩一张嘴，所以哪怕分居这么久，也不离婚！！ 为了让黄圣依不闹离婚，就各种pua她，给她洗脑！真坏,美国,102,24-10-18 03:31
32,张元圆zyy,呜呜呜呜姐姐离了吧仙女太委屈了,广东,92,24-10-17 19:36
33,豆-儿_豆,希望能尽早看到你们已经离婚的消息，求求了,广东,71,24-10-18 21:26
34,七七的一口时光,圣衣姐姐，希望你逃离杨子那个老登，你明明那么优秀，被他pua 的都快没有自我了,四川,77,24-10-18 20:27
35,DIDCIC,幸福真的不是钱有多少,辽宁,71,24-10-17 20:02
36,张小爬9,姐 离婚吧 看着都让人心疼,广东,66,24-10-17 22:16
37,梦儿0818,跑过来劝离的，他利用你，但不认可你，他把自己描述成遮风挡雨的大树，把你说成攀附的无知藤蔓，他只是把你当做炫耀的资本，挣钱的工具，教子的保姆，他不爱你，也不认可你，更不尊重你。离开，做清醒大女主,浙江,63,24-10-18 01:50
38,陈美嘉jia,他真的不配啊啊啊啊心疼姐姐,湖南,63,24-10-17 23:42
39,所想非想,还有，你交大附中的！！！上海顶尖公立四校！！你叫杨去考考看！说你没文化！太气人！,湖北,61,24-10-18 13:50
40,月亮禾水,姐姐离开他！自己选剧本，别被pua了，被他签约之后一部出圈的作品都没有，还不如自己发展呢,江苏,41,24-10-19 02:47
41,禾火you,姐，小时候看天仙配就觉得你可美了，这种窒息的婚姻，能离就离了吧，观众都支持你离婚，你要是离了，前途会更加好的，没必要把未来的生活也浪费在这段婚姻里,山东,31,24-10-20 00:55
42,张玲race,希望能早点看见你离婚的消息，求求了 姐姐赶紧离吧,广东,51,24-10-18 23:00
43,照常达不溜,姐姐，当时浪姐的时候当时我们分析的那些问题，终于你也意识到了，真的很为你开心，但是真的离了吧,山东,30,24-10-18 12:36
46,连良菌,姐姐。离婚吧。是个人都不受不了这男的。,辽宁,38,24-10-19 01:25
47,小liao又困_,劝离 女神 我真的感觉你太压抑了,贵州,32,24-10-18 21:15
48,Alisha___,离婚吧姐，太委屈你了，他不配,上海,39,24-10-17 21:55
49,是一颗糖·Tang,离吧！名利都有了，该追求自我，享受对等的爱情了，他配不上你，打压式的婚姻旁观者看着都窒息，后半辈子为自己而活！,湖北,30,24-10-18 14:32
50,buduwhbsqkk,姐姐，站起来，去推开那扇门，外面是无比新鲜的空气,江苏,19,24-10-19 10:14
51,吖啾是天使,你太令人惋惜了！可以和周星驰解约，可以不当星女郎，你也可以发光大放光彩的！这么多年，你跟了个啥人！姐姐太可惜了！,山东,26,24-10-17 22:37
52,--荣公子--,如果有一个人天天打压我，我是一天也过不下去的，为什么，因为他不欣赏你，如果一个人不欣赏你，他怎么可能尊重你，如果没有尊重，怎么可能有爱，希望姐姐做最美的自己，为什么那么聪慧的水瓶座看不明白，真的气死我了,广东,22,24-10-18 01:35
53,伊雯2014,你与扬子的合约合适到期啊？你不离开这个人你这辈子很难幸福。你一定会遇到一个真心爱的把你放在第一位的人。很早就觉得早年他就是把你当摇钱树，这个人会消耗你的生命。,加拿大,23,24-10-19 05:01
54,bnnlyf,姐，求你，离婚吧！！！！！！！婚姻出问题虽然说彼此肯定都有责任，但是他不正常啊！！！！！！,上海,26,24-10-18 01:33
55,小小小小小幸运儿_,杨子这种喜欢长篇大论，答非所问，不知所云，喜欢显摆，没有担当的人，做他身边的人都是种灾难，不管是作为配偶还是下属亦或是事业伙伴，赶紧远离吧！,广东,30,24-10-19 09:57
56,梦儿0818,姐姐你真的很漂亮，有能力知名度有作品，跟他在一起太不开心，姐姐独美啊,浙江,26,24-10-18 01:51
57,即墨_199,宝贝，要爱自己。要把自己放在第一位。远离渣男，远离杨子,广东,13,24-10-19 13:49
58,檀迷心智,姐 实在忍不住了咱离了吧！对你对孩子都好，某某爱当霸总自己当就行了，你跟娃两个人和和美美,广西,18,24-10-19 22:53
59,他今天又没理我,姐，赶紧离婚真的！！！！,四川,16,24-10-19 15:59
60,美式无奶多冰,真不行 我们帮你报警,河南,23,24-10-18 00:17
61,糊糊T呼-,姐，独自美丽吧,江苏,28,24-10-17 22:12
62,Lit-mall,答应我 离婚,浙江,22,24-10-19 14:11
63,瘦到叭叭,姐姐！！！！离了吧你值得更好,福建,19,24-10-18 23:59
64,mateo袋袋,姐姐独自美丽吧，真的太让人心疼了,安徽,10,24-10-18 17:47
65,越陌度阡_嗷嗷嗷,真的没想到，在外桀骜高冷的大女主，在家里竟然像个傀儡一样姐，要么勇敢离婚寻找真正的自己，要么想开一点丧偶婚姻反正有钱花就行是不,山东,14,24-10-18 09:38
66,小风子哇,十七年婚姻生活，不敢想象我最喜欢看的《天仙配》现实生活一地鸡毛，你受了多少委屈和pua，节目播出，我光看都要气炸了，可以说“忍”应该贯穿了你的整个婚姻，佩服，不想多说你的另一半，有心的人都能看出所以然。多爱自己，敢于拒绝，你真的很不错了,江西,17,24-10-17 23:08
67,就想换个niches,气死了，姐姐，就两个字，离婚！！！！！！！,浙江,18,24-10-18 19:24
68,冷兔不乖,姐你脾气太好了心疼你,浙江,23,24-10-17 15:51
69,一抹暖阳-------158,你怎么能没有私人资产，太可怕了，就别的还能忍的话，这不能忍啊，别的也不该忍，可是这么多年你竟然没钱，快醒醒吧，你如此优秀，还来得及做自己好吗独自美丽,辽宁,17,24-11-2 08:47
70,踏破荆棘之地,一个男人。你应该看他做啦什么，而不是说的什么。你不觉得他在给你画个又大又圆的饼嘛。这个饼包括说什么哎呀我死啦遗嘱也会写你。但你怎么能相信呢，相信一个连财产都不交给你打理，密码也不告诉你，言语上轻视你的老板？你们不是夫妻吧他到底是你老板还是你丈夫。,四川,10,24-10-31 21:51
71,沉淀198111,黄圣依能不能学学人家章子怡，离婚搞事业，反正孩子也大了，现在正是离婚搞事业的好时机,山东,18,24-10-20 07:59
72,黑猫警长_199001,快离婚吧。我都看不下去了,上海,13,24-10-19 07:47
73,幸福的leilei的小屋,心疼黄圣依，可是黄圣依不懂心疼自己。,北京,16,24-10-19 21:21
74,来电面具,离吧！对自己好点，这老男人是油腻天花板！,江苏,16,24-10-18 07:51
75,红豆小姐-yuri,醒醒圣依！（家人们快让她清醒过来,美国,8,24-11-2 09:21
76,Lemon_mini娜,姐姐啊，你是嫁了个什么东西啊,广东,20,24-10-21 22:27
77,起什么名aaaaa,建议你了解一下npd人格，这种人真的碰不得，赶紧跑吧，做一个自私的人，抓不住的就放，赶紧跑吧，不然后半生也很难快乐，除非你等孩子长大了带着你出去生活。但这真的很难熬吧......哎反正都是自己的选择。只能说npd真的很恐怖，光看节目都能感觉非常的窒息，更别说跟这种人生活了。,陕西,14,24-10-20 02:11
78,白6788,姐，太惨了，不行咱就离归来依然是顶流,湖北,18,24-10-19 16:56
79,mandy的美好生活11,看清杨子，他不是为你哭和流泪，也不是为感情！是后悔上节目，是觉掌控不了你了，也控制不了舆论！他完全看不到自己的缺点@黄圣依,上海,9,24-10-21 11:33
80,水墨棠邑,看看人家赵丽颖敢爱敢恨，清醒独立，当断则断，否则反受其乱。你老公完全都是一直在利用你，Pua你，根本不爱你，不尊重你，把你当作附属品和工具，太让人失望了，他那种精致利己者虚伪的嘴脸让人心生厌恶！特别喜欢NPD表现自己特别聪明伟岸，把别人都当作智商低下的傻子。,北京,18,24-10-20 22:46
81,莫西莫2,懂王的眼里只有利益，你除了陪他直播带货外，你在他眼里已无利可图。清醒点，我们可以骄傲的离开，也别卑微的苟活。,浙江,10,24-10-20 08:53
82,CiCi阿晨,你的能量真的被他吸干了耗干了，希望你没有抑郁，不止是现在为了孩子，以后也是，不要抑郁。你的孩子可以没有爸爸的陪伴和教育，因为一个如此不堪的人来教育你的孩子那才是错误的，男孩子长大了需要一个男人来引领他没错，但这个人不止是爸爸。,河南,14,24-10-21 21:33
83,摩利支天如强,杨子爱黄圣依，但又自卑觉得配不上黄圣依，所以经常打击贬低黄圣依，让自己能配上黄圣依。千万不要离婚，要在婚姻中成长。,山东,6,24-10-19 12:34
84,豆本豆1101,一直以为你心机重。没想到你单纯简单孝顺有教养。情绪稳定。太好的女孩子了！为了自己开心，我认为你可以离开！,浙江,14,24-10-18 09:20
85,萍儿_yyp,心疼你姐姐,重庆,8,24-10-21 13:28
