comment_id,user_name,text_raw,source,like_counts,created_at
1,闲杂人等呀,手哥，教育扬子的事情。拜托了,北京,0,24-10-18 16:08
2,西红柿炒鸡蛋多点蛋,你少说几句你妈说，多怼杨子，你的口碑会更好,江苏,0,24-10-18 17:40
3,全正思,你头戴一副地摊眼镜，手握一个5手爱粪手机，下身穿一条爱心捐赠的短裤，腿都遮不住，衣不蔽体，瘦骨嶙峋，好像刚从高丽归来，负分滚粗。,浙江,6404,24-10-18 17:40
4,鱼香基丝,手子，希望你能深刻吸取这次封号半年的惨痛教训，以后不要再阴阳怪气，端正立场，洗心革面，重新做人。,天津,1581,24-10-18 16:06
5,腐腐_去过lezhin版,手哥 我这个算铁粉不 我从小就关注你,广西,1153,24-10-18 21:09
6,妮妮的黑巧,你和葛夕离不了婚，你俩简直绝配,北京,948,24-10-19 22:55
7,桥上来来往往的对话,你居然半年可见，把以前的内容打开，我要找回我的快乐源泉，重回十年前的微博状态,辽宁,725,24-10-20 11:11
8,徐大人是我家妞,先把媳妇的💰凑齐还给人家,江苏,1240,24-10-27 10:04
9,会发财的野心月,你俩发夫妻生活 这个账号都够你吃下半辈子了 颓废啥呀 赶紧赚钱还你老婆房,浙江,507,24-10-25 22:23
10,百花香帅,昨天热搜上教育杨子，就知道手哥要回归了。各路广告狗赶紧把单子准备好！,山东,333,24-10-19 05:17
11,别抢我鸡腿啦,哥，把嫂子钱还了，去看看丈母娘说句抱歉，不要逃避，大大方方认错、面对才是真男人，你喜欢你老婆欣赏你老婆你就大大方方说，不要总是用开玩笑的方式掩饰真心，也别老把你妈挂嘴上，你是你们小家庭的老爷们、顶梁柱，你说的就算，不要在乎那面子，面子值几个钱？哥，加油哈,江苏,405,24-10-27 22:46
12,邹VIVI,手哥，喜欢看你怼杨子，更喜欢看你老婆怼你。哈哈哈,广东,366,24-10-20 14:39
13,zomzam,你老婆微博多少,广西,359,24-10-18 16:08
14,Hello_Amyliu,因为杨子 高低加个粉,广东,218,24-10-20 12:21
15,MarquisChilde,关注你了哥，没什么其他的要求，多怼怼杨子就行,湖北,230,24-10-20 12:24
16,需要极大的社交距离的jelly,节目赶紧换你去当观察员吧，你去当观察员节目更好看了 （等同支棱起来了也）,广东,152,24-10-21 00:22
17,iamyanky721,哥！别忍了,广东,198,24-11-8 23:52
18,王酉山,手哥出走半生，归来仍是喷子大舞台的首席。,上海,147,24-10-20 19:06
19,大哥张牧之,哎呀我去，手哥，想死你了,河北,109,24-10-18 16:09
20,杨强Young,手哥，号终于回来了，护手霜们很想你。节目是不是录完了？你和嫂子还好吗？,山东,105,24-10-18 17:42
21,金弋-,求求你了去给麦林两巴掌好吗,浙江,136,24-11-9 00:26
