comment_id,user_name,text_raw,source,like_counts,created_at
1,鄭豆腐leon,你为什么要幻想出一个没有发生的人生啊？有钱的追你，你就能幸福吗？如果这么笃定，当时为什么不选择那样的人生呢？既然自己选择了这样的，反过来又要怪别人？别人到底欠你什么？,湖南,0,24-10-24 15:00
2,阿双双双双双er,你想找有钱的 你去杨子吧哈哈哈,贵州,6165,24-10-24 16:19
3,新渣浪,看完会员加更版为什么感觉你有点表演型人格，有些话有些行为看起来是说给和做给摄像机看的。和你说的默默付出不符，也不像你们私下里真正的相处模式，有一种很不真实的感觉。,日本,5210,24-10-21 07:32
4,幻化成秋叶R,找个工作吧，男方其实也很关心和爱你的你也确实强势。,安徽,2666,24-10-24 13:48
5,-不听你的不行吗,姐姐，讲真看再见爱人我都是会对女方更包容的，更多去审判男方的！但是你和李行亮之间的矛盾，我感觉你的责任占百分之八十，你可以听听黄执中对你行为的分析，感觉很准确。,浙江,2828,24-10-24 20:35
6,张曦云,你强势的可怕，不讲道理的那种！你就是要男方对你满满的歉疚感…,新加坡,2852,24-10-24 14:18
7,如果你用了小米那我们不是朋友,说实话真的不喜欢你，我先不评价你的外貌省得说我肤浅，你这种女的整天编什么以前有钱人追你，你可以过体面生活什么的挂在嘴边然后疯狂的去pua李行亮。我说句不好听的如果换我，早就跟你离婚了。你其实就是一个三无人员，无工作，无社会经验，无样貌。亮哥能够在出名后还能忍受你，这已经是你的福分了,浙江,2331,24-10-26 13:07
8,名字还没想好我再想想,你有没有想过，你掌握全家的经济大权，李行亮所有的消费都要跟你打报告，其实他也是痛苦的。他也在忍受啊,江苏,1973,24-10-24 22:34
9,85号奶盖奶盖奶盖,从始至终不反思的那个人是你啊！大姐！你太可怕了！你和杨子没啥区别！一直在pua 亮哥！你根本听不懂亮哥说的话也不理解亮哥！,浙江,1937,24-10-24 23:55
10,江以丶,李行亮在家里，连买一个垃圾桶的权利都没有，这是重点，就像一个被控制欲极强的母亲控制的小孩，能感受到爱，但是更多的是内疚，窒息，羞耻，无力以及没有自我，麦麦你的极端节省，让整个家庭的幸福感降到极低,江西,1719,24-10-22 21:25
11,zhuanzhuan-,你很善良，但真的不要把别人放在第一位，把自己放在第一位，找其他事情做，不要围着老公孩子转。去健身去锻炼去打扮。,青海,883,24-10-19 17:13
12,SHTsing,第一次觉得没有婆婆真不行，他没人撑腰，你就这么欺负他是吧？两个人之间的平等呢？尊严呢？体贴呢？表面吃苦，实际做戏、毫不满足。另外，你有没有转移他的钱？,上海,1341,24-10-25 20:53
13,lulu__001,你别装了姐我就是个物质的人这句话没什么不能说的别天天搁那儿立人设,上海,1287,24-10-26 04:23
14,NEVEAND奶味蓝,北京的房子靠省吃俭用就能买到，我也是第一次知道,湖北,986,24-10-26 12:36
15,蓝静恩爱吃芒果,正常人会在饭前算账吗！打孩子都得挑饭后！这跟大家坐一块准备享受美食，就有人突然来了一句，你们吃这些好的吧，我吃昨天剩饭，有啥区别啊！多遭人膈应啊，谁还能有胃口了，其他几位嘉宾也多次善意提醒了，别太焦虑别太忧心明天了，已经给别人带来反感了都，自己还在那较劲呢！,海南,820,24-10-26 11:58
16,要开心哦加油努力耶,我给你个建议就是你去看下心理医生你的心理不健康，第二个不要再伤害你身边最亲的人，第三不要放弃自己。你根本不爱对方，你只是通过控制去消除自己的焦虑，把自己的价值放别人身上，又自恋又自卑。,江西,746,24-10-25 02:47
17,贝拉西卡,一个厂妹抽到了SKR牌 不知道咋玩了,上海,708,24-10-26 21:24
18,糖炒李子··,你真的很吓人，控制欲太强了,江苏,678,24-10-24 15:26
19,美色好误人,李行亮不爱你。他在精神虐待你。快走出来吧麦麦。很心疼你,四川,190,24-10-25 12:53
20,汤圆她妈啊,你想要什么不会自己表达吗？又要人家猜，努力给你惊喜了你觉得还好吧，给你买东西你不喜欢，让你花钱你又舍不得……请问你要干嘛，李行亮脾气真的太好了，但凡你换别的男的不一定有李行亮这么有耐心这么在乎你……,福建,455,24-10-24 17:31
21,逰加一,你真可怕 控制狂 妈感十足 npd人格 你老公没得精神分裂zhendehenbury了你不能体谅体谅别人吗,浙江,496,24-10-25 17:38
22,小小赖246,真看不出你有啥能让富豪娶你回家的原因，你能嫁李行亮已经是你的顶配了，别作了,广东,444,24-10-26 00:04
23,积极向上的小糖心,看了第二期上，作为观众有点看不懂。姐姐你表达的诉求是想要先生多关心，但先生已经通过准备生日、买小礼物的方式表达了。如果觉得还不够，其实可以直接表达出来你需要、想要的是哪些，具体一点。 每个人都不是别人肚子的蛔虫，夫妻之间可以直接说具体的。,广东,373,24-10-24 13:02
24,山口蔡蔡子,最新一期真牛啊，奸懒馋滑，就那张嘴在动，事情都是别人做的，家庭主妇连泡面都不会，当导游连手册都丢了，安排行程早上自己起不来，行李箱也不会收你在装什么？,广东,404,24-10-31 16:12
