comment_id,user_name,text_raw,source,like_counts,created_at
1,YZxz_,你真的是个失败的丈夫,福建,0,24-10-17 18:17
2,开到荼蘼爱到荼蘼,狂妄自大，还自我感觉良好，收了手机像个焦躁症一样，人家睡了还跑过去打扰一点教养和礼貌都没有，父母从小就是这么教育你的？几个手机消息不能耽误，你老婆孩子就可以放着不管了？你结婚就是为了折磨别人的吗？黄真是太有修养了，能容忍你这么多年，不过也是被你pua，洗脑，利用，真的放过她吧,广东,0,24-10-18 06:23
3,我吼吼吼吼吼吼,papi酱简直就是我的嘴替，你是我最不喜欢的那种中年男人，放过黄圣依吧,浙江,8663,24-10-17 22:27
4,讨厌每一分每一秒的自己,如果不爱她就早点放过她 而不应该好像一直在用看起来善意但实则非常pua她 控制她 一个女生最好的青春年华都给了你 为什么不懂得爱她心疼她啊,云南,5429,24-10-17 23:11
5,一把_牙刷,看第一集就觉得坚决支持黄圣依离婚到底！ 这么自私自大自以为是的人你不适合结婚的，做你的员工也挺惨。over,云南,4666,24-10-17 19:36
6,飞扁的小饼干,你是真没见识 像没文化的暴发户 当个总裁就能挂嘴上一辈子 比别人多见了一点点东西 就能说一辈子 真正有见识涵养内涵的人都是绅士且谦虚的 你展现的只是个农村土暴发户,四川,3650,24-10-18 18:05
7,我来自外太空的宇宙,为了骂你还得关注你。。。。骂完我就取关。。你真tm奇葩。。。,河南,2783,24-10-18 22:36
8,新绿的小窝,你关心过黄圣依想要的是什么吗？ 整个想要精神控制和pua 你组建家庭干嘛呀 祸害人,陕西,1797,24-10-17 22:50
9,开到荼蘼爱到荼蘼,根本不是黄圣依的粉丝，本来以为她挺有个性的，没想到她过的如此隐忍，谁嫁给你真是太惨了，你懂什么是爱吗？爱一个人是让她做她自己喜欢的事成就她自己，不是利用他做你想要做的事！节目当面说女明星没文化，那你娶她干嘛啊，是为了折磨她吗？你从小受的什么低等教育，导致你不懂得尊重女性，蔑视女性,广东,1763,24-10-18 06:17
10,一个可爱的土豆精,哇，你快放过黄圣依吧，奇葩来的,北京,1162,24-10-17 23:29
11,Mdhtye,咋没人骂你,浙江,870,24-10-17 22:50
12,美式无奶多冰,哥 你真抽像啊 你赶紧离婚吧（我就想评论骂你 想了想算了） 你放过我姐吧 （评论完取消）,河南,907,24-10-18 00:15
13,我是那个谁哎不重要,你不配拥有她，这么多年你只是侥幸占有，你不配。,浙江,750,24-10-17 23:43
14,婧乖乖_sa,目前最讨厌的男人，没有之一！！！加关注都要骂一句才睡得着的程度,广西,664,24-10-18 01:15
15,张小爬9,放过黄圣依吧 你简直颠覆了我三观啊 ✌,广东,652,24-10-17 22:13
16,胡剑雨啊,你没事吧？听你说话真的是让人窒息,河南,635,24-10-17 23:57
17,一把_牙刷,天哪 你真的太自大太狂了吧,云南,432,24-10-17 19:16
18,鱼卫士,你能不能不要那么强势？对待孩子要有点耐心，加强沟通和引导孩子抒发情绪？安迪多好的孩子啊，你们两口子真是一点都不懂欣赏自己的孩子,辽宁,387,24-10-17 19:58
19,沐槿一,因为他身边全都是奉承他的人，没有人替圣依说话，就算有也说不过杨子。因为他不管别人说什么的，必须要强扭过来听他的。别人只是不想听他废话才说好好好，你说的都是对！圣依也反抗过，没有用，反抗的结果就是他会说更多的废话让圣依认可他。但只是为了让他闭嘴表面上认可他而已，心里还是不认可他说的,江苏,398,24-10-18 21:17
20,梁孟玥玥玥玥玥,留几手问你给黄圣依回馈了什么，你话里话外的意思就是你给她钱了。你觉得黄圣依真正的需求是这个？你根本不在乎黄圣依要什么，你只是拿钱把她打发了而已。钱对你来说一点也不稀罕，所以给钱根本不叫付出。愿意奉献自己本就不多的东西给对方才叫付出才叫爱，对你来说就是你的时间和精力,美国,261,24-10-18 15:55
21,来给生活比个耶101,放过圣依，你不配，可以说你是一个合格的老板，商人 绝不是合格的父亲和伴侣，浪费圣依十几年青春,广西,237,24-10-17 22:23
22,hc繱的2022,我关注你就是为了给你评论：你放过黄圣依吧！！！！！！！她值得更好的伴侣！！！！,上海,222,24-10-18 17:59
